user,year,meta1,meta2
El,2024,unused,unused
id,date,cash,cause
1,2024-01-21,-25.98,Corsi udemy
2,2024-01-21,-8.81,Gita a grado
3,2024-01-20,-20,Benzina Alberto
4,2024-01-19,-59.9,Autocad 2022
5,2024-01-18,-10,Piadina
6,2024-01-14,-9.99,Lampada piantine
7,2024-01-21,-7.07,Spesa
8,2024-01-13,8,Mamma
9,2024-01-08,-130.2,Visita neurologo
10,2024-01-01,-265.92,Vacanza ferrara ravenna
11,2024-01-06,50,Mamma
12,2024-01-08,-58.59,Spesa
13,2024-01-08,-6,Caffè
14,2024-01-09,-7,Kebab
15,2024-01-22,70,Arch cle
16,2024-01-27,-2.6,Caffe
17,2024-01-28,-10,Mostra valle
18,2024-01-28,-7.6,Gelato
19,2024-01-28,-18.86,Batteria
20,2024-01-31,-36.53,Benzina
21,2024-02-07,-25,Tessera coop
22,2024-02-08,-11.6,Piadina
23,2024-02-07,-725,Passaggio auto panda
24,2024-02-07,-16,Marca bollo comune
25,2024-02-09,150,Arch clemencig
26,2024-02-09,45,Mamma
27,2024-02-10,-10.4,Manga
28,2024-02-10,-3.5,Cancelleria
29,2024-02-10,-2.7,Flying tiger
30,2024-02-10,-15.54,Spesa
31,2024-02-10,-31,Spesa
32,2024-02-15,100,Aech bortolotti
33,2024-02-15,-44,Assicurazione panda
34,2024-02-16,-7,Kebab
35,2024-02-16,-27.5,S valentino 
36,2024-02-20,-32,Marche bollo
37,2024-02-12,-14,Pomata farmacia
38,2024-02-24,-33.8,Rameb
39,2024-02-25,-63.52,Comodini
40,2024-02-25,-35.4,Ikea
41,2024-02-25,24,Mamma
42,2024-02-26,-2,F24
43,2024-02-26,-251.3,Ordine architetti
44,2024-02-26,-59,Far east film festival
45,2024-02-29,-3.13,Spesa
46,2024-03-02,-32.4,Spesa
47,2024-03-02,-14.95,Tshirt alberto
48,2024-03-02,-25,Pizza
49,2024-03-02,-10.99,Magneti
50,2024-03-04,60,Arch clemencig
51,2024-03-06,-17,Libro
54,2024-03-07,-32.73,Farmacia
55,2024-03-08,-1,Portapillole
56,2024-03-08,-2.6,Caffè
57,2024-03-12,-2.6,Caffe
58,2024-03-13,30,Arc clemencig
59,2024-03-19,-42.59,Benzina
60,2024-03-19,-25,Farmacia
61,2024-03-23,-15.63,Spesa compleanno x lavoro
62,2024-03-24,-7.6,Gelato gorizia
63,2024-03-29,-10,Sciarpa alexandra
64,2024-03-29,-50,Ricarica cel iliad
65,2024-04-01,-3.5,Biscotti
66,2024-04-01,-28,Treno venezia
69,2024-04-01,-11,Grattini
70,2024-04-01,-3.9,Caffe venezia
71,2024-04-01,-12.9,Pasticcini venezia
72,2024-04-01,-7,Pranzo venezia
73,2024-04-01,-9.5,Biglietto vaporetto
76,2024-04-04,-2.39,Cibo venezia
77,2024-04-07,-13.85,Spesa
78,2024-04-09,4680,Arc Mansutti
79,2024-04-09,-488,Pagamento commercialista
80,2024-04-14,-7.8,Frozen yogurt
81,2024-04-15,-5.2,Autostrada paluzza
82,2024-04-15,-2.8,Caffé paluzza
83,2024-04-18,-46.66,Benzina
84,2024-04-23,-37.45,Spesa
85,2024-04-23,37.43,Mamma spesa
86,2024-04-23,-20.64,Spesa
87,2024-04-27,-9,Bubbke tea
88,2024-04-28,-3,Colazione alberto
89,2024-05-01,-15.3,Spesa
90,2024-05-01,-19.5,Libro
91,2024-05-02,-8.6,Piadina
92,2024-05-02,-132.88,Bollo panda
93,2024-05-04,-15,Aperitivo laura
94,2024-05-06,-55,Benzina
95,2024-05-08,-7,Caffe cantiere
96,2024-05-09,-28.2,Old wild west
97,2024-05-09,-28.27,Spesa x cena architetti
98,2024-05-11,90,Arch clemencig
99,2024-05-11,-12,Calzini
100,2024-05-11,-52,Libri
101,2024-05-11,-8.4,Spesa
102,2024-05-11,-1.8,Piantina fragole
103,2024-05-16,-6.3,Parcheggio lavoro
104,2024-05-17,-44.7,Medicibe
105,2024-05-17,-2.8,Parcheggio lavoro
106,2024-05-18,-10.5,Poke mamma
107,2024-05-21,-43,Benzina
108,2024-05-21,40,Arch Zecchini
109,2024-05-21,-4.5,Parcheggio lavoro
110,2024-05-24,-2.6,Caffe
111,2024-05-25,-25.3,Poke
112,2024-05-27,-5.9,Fiori papà
113,2024-05-30,-4.7,Truffa trasporti
114,2024-05-31,-150,Panda cambio cinghia trasmissione
115,2024-06-01,-31.6,Esami sangue
116,2024-06-01,-9,Pasticcini
117,2024-06-02,-39.99,Truffa
